y1_y1,y1_y2,y1_y3,y1_y4,y2_y1,y2_y2,y2_y3,y2_y4,y3_y1,y3_y2,y3_y3,y3_y4,y4_y1,y4_y2,y4_y3,y4_y4
2.921474,0.9779457,1.0541497,0.120077014,0.9779457,2.070377,-0.756745,1.0397221,1.0541497,-0.756745,1.5319477,-0.8521759,0.120077014,1.0397221,-0.8521759,1.5809954
1.1545035,0.58470696,-0.34854585,0.045217745,0.58470696,0.6854164,-0.20976436,-0.17918985,-0.34854585,-0.20976436,0.4272013,-0.011769835,0.045217745,-0.17918985,-0.011769835,0.554172
0.35518864,-0.14846176,-0.02574038,-0.05922824,-0.14846176,0.8957639,0.090454444,0.48771152,-0.02574038,0.090454444,0.8886359,-0.26472393,-0.05922824,0.48771152,-0.26472393,0.9257697
0.950768,-0.1330056,0.27725297,0.0049677785,-0.1330056,0.30309302,0.03532316,0.017017968,0.27725297,0.03532316,0.30976513,-0.042475734,0.0049677785,0.017017968,-0.042475734,0.5393182
0.66455835,0.06569148,0.8754431,0.079333395,0.06569148,0.41851324,0.5859059,-0.123701215,0.8754431,0.5859059,3.0339043,0.17953739,0.079333395,-0.123701215,0.17953739,0.33532366
0.9397188,0.09143516,-0.15806454,0.29658478,0.09143516,0.18774192,0.013497873,0.009746596,-0.15806454,0.013497873,0.30125633,-0.08275817,0.29658478,0.009746596,-0.08275817,0.44783124
0.23632273,0.30376554,0.15298197,-0.061607245,0.30376554,1.172205,0.17139533,-0.14070489,0.15298197,0.17139533,0.53051186,-0.038212333,-0.061607245,-0.14070489,-0.038212333,0.3658205
3.8994384,0.16942723,1.1394018,-2.188337,0.16942723,1.0755633,0.91567135,-0.22093242,1.1394018,0.91567135,1.9900626,-0.66332036,-2.188337,-0.22093242,-0.66332036,1.7742023
0.46034512,0.18927632,0.048257884,0.40532744,0.18927632,2.1221817,0.5158569,-0.4188958,0.048257884,0.5158569,0.42706075,-0.3556944,0.40532744,-0.4188958,-0.3556944,1.4346085
0.5001782,0.05689304,-0.25920913,0.3566381,0.05689304,0.19103652,-0.0016452636,0.13507894,-0.25920913,-0.0016452636,0.510082,-0.17992635,0.3566381,0.13507894,-0.17992635,0.9540163
1.3758237,-0.11776121,0.072234996,0.09225224,-0.11776121,0.5824186,0.07867366,-0.31009385,0.072234996,0.07867366,0.29645267,-0.14355153,0.09225224,-0.31009385,-0.14355153,0.76339126
0.42549506,0.1626146,0.19590966,-0.082978696,0.1626146,0.37858522,0.00036227723,0.088957965,0.19590966,0.00036227723,0.35758027,-0.13996,-0.082978696,0.088957965,-0.13996,1.1201006
1.0010267,0.1443388,0.4700918,-0.050682817,0.1443388,0.7902241,-0.5485565,0.12952343,0.4700918,-0.5485565,1.7591485,0.21653816,-0.050682817,0.12952343,0.21653816,1.0705614
0.37292856,0.023830123,0.19026439,-0.18617265,0.023830123,0.36245668,-0.07592873,0.1529583,0.19026439,-0.07592873,0.36829737,-0.056433,-0.18617265,0.1529583,-0.056433,0.52646804
0.24627669,-0.23013459,0.08518623,0.017463896,-0.23013459,1.6348635,-0.42262295,0.33361885,0.08518623,-0.42262295,0.3616463,0.14677523,0.017463896,0.33361885,0.14677523,0.67819065
0.90729326,0.06404034,-1.0441517,0.13451873,0.06404034,0.30953842,0.020252768,0.063091345,-1.0441517,0.020252768,2.4404979,0.1326165,0.13451873,0.063091345,0.1326165,0.35853413
0.41153505,0.21823563,-0.15267746,-0.019840658,0.21823563,1.2242064,-0.30924258,0.12456703,-0.15267746,-0.30924258,0.28698963,-0.029472582,-0.019840658,0.12456703,-0.029472582,0.38563898
1.3408853,-0.7354076,-0.75177276,-0.5682423,-0.7354076,1.1170262,-0.111097604,0.44075572,-0.75177276,-0.111097604,2.2669485,0.89084595,-0.5682423,0.44075572,0.89084595,1.0379964
0.7339908,-0.7204021,0.5536482,0.0038200263,-0.7204021,1.3780606,-0.7597973,0.21746,0.5536482,-0.7597973,0.8325844,-0.071340896,0.0038200263,0.21746,-0.071340896,0.4113388
1.2269589,1.441986,-0.23394024,-0.65956855,1.441986,2.3159666,-0.56158936,-0.9303391,-0.23394024,-0.56158936,0.46365663,0.08685662,-0.65956855,-0.9303391,0.08685662,0.9587948
0.7403646,0.23050296,0.20629656,-0.24697366,0.23050296,0.7022031,0.57322836,-0.057269495,0.20629656,0.57322836,1.4623004,-0.2214368,-0.24697366,-0.057269495,-0.2214368,0.5448269
0.9484722,-0.5109356,0.07051162,0.29370582,-0.5109356,0.72109175,0.43584168,-0.17962286,0.07051162,0.43584168,1.7208592,-0.19169095,0.29370582,-0.17962286,-0.19169095,0.3133598
0.9475216,0.81241417,-0.36689815,0.08744857,0.81241417,1.0345024,-0.35068855,0.12750863,-0.36689815,-0.35068855,0.50053465,-0.1482735,0.08744857,0.12750863,-0.1482735,0.296157
0.8069777,-0.48061118,0.24112733,0.14306131,-0.48061118,0.91395617,-0.4068732,-0.20806524,0.24112733,-0.4068732,0.52241737,0.21972965,0.14306131,-0.20806524,0.21972965,0.2742693
0.55027086,-0.3884384,-0.19305791,-0.1802391,-0.3884384,1.3639656,0.047417514,0.06823968,-0.19305791,0.047417514,0.27131712,0.066685274,-0.1802391,0.06823968,0.066685274,0.5774298
0.349998,-0.47690278,-0.15567619,-0.28557637,-0.47690278,1.9556096,1.0037276,0.76371235,-0.15567619,1.0037276,1.2819563,0.39380276,-0.28557637,0.76371235,0.39380276,0.68183273
0.43074852,0.0329694,-0.003300986,0.31604657,0.0329694,0.32339853,-0.07496084,0.16161159,-0.003300986,-0.07496084,0.30444717,0.15652193,0.31604657,0.16161159,0.15652193,1.3404866
0.56848854,0.15226276,-0.06259861,0.027921267,0.15226276,0.4013637,-0.37747794,0.23288561,-0.06259861,-0.37747794,0.9000057,-0.42327327,0.027921267,0.23288561,-0.42327327,0.50287795
0.2762282,0.03755667,-0.04321374,0.10335084,0.03755667,0.348135,0.19164921,-0.0972116,-0.04321374,0.19164921,1.1107725,-0.20778137,0.10335084,-0.0972116,-0.20778137,0.25221294
1.9902664,-0.771166,-0.8025864,0.045082487,-0.771166,0.7023754,0.2505016,0.043888465,-0.8025864,0.2505016,0.70923984,-0.12073333,0.045082487,0.043888465,-0.12073333,0.43246588
0.43407875,0.04637484,-0.08888452,0.1202983,0.04637484,0.5589404,-0.16535604,-0.0922343,-0.08888452,-0.16535604,0.35202327,0.10722766,0.1202983,-0.0922343,0.10722766,0.48015216
1.0917442,0.3408125,-0.48256978,-0.16736628,0.3408125,0.84731394,-0.23642303,0.32543197,-0.48256978,-0.23642303,0.9038701,0.35848442,-0.16736628,0.32543197,0.35848442,1.229149
0.83244365,0.03299814,-0.28597915,-0.05943088,0.03299814,0.70386887,0.211021,-0.3423667,-0.28597915,0.211021,0.78829366,-0.16725363,-0.05943088,-0.3423667,-0.16725363,0.47955674
0.80356264,0.65254897,-0.33699018,0.16626914,0.65254897,1.4045651,-0.6632547,0.049307942,-0.33699018,-0.6632547,0.61654246,0.101642124,0.16626914,0.049307942,0.101642124,0.7181784
0.3276863,-0.10634885,0.0733529,0.02927308,-0.10634885,0.29763982,0.2881048,0.13607518,0.0733529,0.2881048,1.0013204,0.43855733,0.02927308,0.13607518,0.43855733,0.3621441
