wStart,wEnd,wSize,prGenVar,WPPA,PPA_t
"""id3010682""","""id3010956""",100,0.57,0.24,0.354588235
"""id3010960""","""id3011423""",100,0.32,0.14,0.253933649
"""id3011429""","""id3011905""",100,0.36,0.14,0.253396226
"""id3011906""","""id3012068""",100,0.07,0.06,0.204037267
"""dd3000422""","""id3012191""",100,0.34,0.16,0.270497238
"""id3012192""","""id3012398""",100,0.52,0.22,0.335247525
"""id3012399""","""id3012544""",100,0.15,0.12,0.235725806
"""id3012545""","""id3013095""",100,0.41,0.24,0.353255814
"""id3013106""","""id3013815""",100,1.13,0.5,0.672
"""id3013824""","""id3014360""",100,0.34,0.12,0.235261044
"""id3014361""","""id3014888""",100,0.28,0.16,0.26989011
"""id3014889""","""id3015571""",100,0.22,0.08,0.210784314
"""id3015584""","""id3016156""",100,0.48,0.18,0.293061224
"""id3016157""","""id3016816""",100,0.39,0.26,0.382686567
"""id3016817""","""id3017369""",100,0.19,0.14,0.25286385
"""id3017372""","""id3018076""",100,0.71,0.24,0.351954023
"""id3018078""","""id4000107""",100,0.54,0.18,0.292297297
"""id4000108""","""id4000616""",100,0.27,0.1,0.21971831
"""id4000629""","""id4001092""",100,0.08,0.04,0.199939577
"""id4001093""","""id4001763""",100,0.67,0.4,0.575294118
"""id4001766""","""id4002190""",100,0.69,0.3,0.426382979
"""id4002206""","""id4002512""",100,0.34,0.16,0.269289617
"""id4002513""","""id4002895""",100,0.13,0.12,0.2348
"""id4002912""","""id4003291""",100,0.67,0.24,0.350681818
"""id4003295""","""id4003709""",100,4.3,0.66,0.8
"""id4003710""","""id4004035""",100,0.8,0.3,0.42375
"""id4004036""","""id4004538""",100,0.39,0.16,0.268695652
"""id4004547""","""id4005251""",100,0.64,0.3,0.42122449
"""id4005253""","""id4005671""",100,0.13,0.08,0.210358306
"""id4005680""","""id4006098""",100,0.18,0.16,0.268108108
"""id4006106""","""id4006696""",100,0.12,0.08,0.209935065
"""id4006704""","""id4007215""",100,0.18,0.06,0.203591331
"""id4007216""","""id4007731""",100,0.5,0.24,0.349438202
"""id4007739""","""id4008262""",100,0.34,0.2,0.312419355
"""id4008265""","""id4008828""",100,0.19,0.1,0.219298246
"""id4008832""","""id4009349""",100,0.09,0.14,0.252336449
"""id4009359""","""id4009867""",100,0.45,0.18,0.291543624
"""id4009871""","""id4010294""",100,0.08,0.06,0.203148148
"""id4010298""","""id4010692""",100,0.34,0.18,0.2908
"""id4010693""","""id4011048""",100,0.28,0.22,0.334117647
"""id4011055""","""id4011479""",100,0.17,0.14,0.251813953
"""id4011482""","""id4012056""",100,0.26,0.12,0.234342629
"""id4012057""","""id5000028""",100,0.29,0.22,0.333009709
"""id5000043""","""id5000502""",100,0.43,0.18,0.290066225
"""id5000513""","""id5000969""",100,0.94,0.18,0.289342105
"""id5000971""","""id5001440""",100,0.49,0.18,0.288627451
"""id5001443""","""id5001923""",100,0.22,0.18,0.287922078
"""id5001934""","""id5002443""",100,0.64,0.24,0.348222222
"""id5002445""","""id5002940""",100,0.26,0.08,0.209514563
"""id5002941""","""id5003476""",100,0.21,0.08,0.209096774
"""id5003477""","""id5004109""",100,0.75,0.18,0.287225806
"""id5004121""","""id5004668""",100,0.15,0.1,0.218881119
"""id5004675""","""wd5001451""",100,0.13,0.08,0.208681672
"""id5005100""","""id5005808""",100,0.31,0.16,0.267526882
"""id5005842""","""id5006311""",100,0.14,0.1,0.218466899
"""id5006314""","""id5006821""",100,0.31,0.14,0.251296296
"""id5006824""","""id5007373""",100,0.25,0.12,0.233888889
"""id5007383""","""id5008010""",100,1.11,0.34,0.481290323
"""id5008011""","""id5008551""",100,0.21,0.2,0.31152
"""id5008553""","""id5009178""",100,0.31,0.18,0.286538462
"""id5009186""","""id5009921""",100,0.3,0.14,0.25078341
"""id5009927""","""id5010527""",100,1.02,0.26,0.380882353
"""id5010535""","""id5011185""",100,1.11,0.36,0.506153846
"""id5011189""","""id5011950""",100,0.8,0.18,0.285859873
"""id5011954""","""id5012577""",100,0.15,0.1,0.218055556
"""id5012582""","""id5013231""",100,0.15,0.06,0.202707692
"""id5013234""","""id5013920""",100,2.92,0.82,0.86
"""id5013923""","""id5014571""",100,0.34,0.16,0.266951872
"""id5014573""","""id6000002""",100,0.6,0.28,0.409259259
"""id6000009""","""id6000606""",100,0.52,0.22,0.331923077
"""id6000618""","""id6001243""",100,0.26,0.12,0.233438735
"""id6001250""","""id6001915""",100,0.31,0.12,0.232992126
"""id6001936""","""id6002464""",100,0.88,0.3,0.4188
"""id6002487""","""wd6000151""",100,1.82,0.44,0.597333333
"""wd6000165""","""id6003403""",100,0.48,0.22,0.330857143
"""id6003408""","""id6003947""",100,0.58,0.32,0.4465
"""id6003948""","""id6004500""",100,0.51,0.28,0.406909091
"""id6004516""","""id6005217""",100,0.61,0.2,0.310634921
"""id6005244""","""id6005809""",100,0.56,0.22,0.329811321
"""id6005814""","""id6006470""",100,5,0.9,0.9
"""id6006474""","""id6007307""",100,1.16,0.36,0.500740741
"""id6007309""","""id6007891""",100,0.43,0.2,0.30976378
"""id6007893""","""id6008584""",100,0.53,0.18,0.285189873
"""id6008588""","""id6009105""",100,0.17,0.08,0.208269231
"""id6009114""","""id6009498""",100,0.33,0.16,0.266382979
"""id6009508""","""id6010023""",100,0.18,0.1,0.217647059
"""id6010030""","""ud6000840""",100,2.13,0.56,0.74
"""ud6000850""","""id6011161""",100,1.67,0.38,0.54
"""id6011166""","""wd6002981""",100,0.22,0.1,0.217241379
"""id6011767""","""id6012381""",100,0.89,0.3,0.416470588
"""id6012385""","""id6012984""",100,0.29,0.14,0.250275229
"""id6012985""","""id6013611""",100,0.74,0.28,0.404642857
"""id6013622""","""id6014270""",100,0.09,0.08,0.207859425
"""id6014279""","""id6015070""",100,0.74,0.2,0.30890625
"""id6015076""","""id6015743""",100,0.78,0.26,0.379130435
"""id6015745""","""id6016286""",100,0.26,0.16,0.265820106
"""ud6001198""","""id6016615""",100,1.09,0.36,0.495714286
"""id6016616""","""id6016940""",100,0.75,0.22,0.328785047
"""id6016941""","""id7000168""",100,0.37,0.16,0.265263158
"""id7000172""","""id7000422""",100,0.34,0.16,0.264712042
"""id7000423""","""id7000660""",100,0.64,0.18,0.284528302
"""id7000661""","""wd7000537""",100,0.86,0.28,0.40245614
"""id7001072""","""id7001559""",100,0.82,0.24,0.347032967
"""id7001560""","""id7001908""",100,0.91,0.24,0.345869565
"""id7001911""","""wd7001785""",100,0.11,0.08,0.207452229
"""wd7001809""","""id7002482""",100,3.49,0.4,0.565555556
"""id7002483""","""ud7001180""",100,0.46,0.14,0.249771689
"""id7002753""","""ud7001337""",100,0.93,0.16,0.264166667
"""ud7001339""","""id7003205""",100,0.53,0.26,0.377428571
"""id7003207""","""id7003559""",100,0.69,0.34,0.476875
"""id7003564""","""id7003900""",100,0.44,0.2,0.308062016
"""id7003901""","""ud7001709""",100,0.25,0.24,0.344731183
"""id7004213""","""id7004542""",100,1.32,0.32,0.443414634
"""id7004545""","""id7004847""",100,0.57,0.14,0.249272727
"""id7004848""","""id7005195""",100,0.47,0.12,0.23254902
"""id7005198""","""id7005575""",100,0.79,0.26,0.375774648
"""id7005585""","""id7005976""",100,1.2,0.32,0.44047619
"""id7005984""","""id8000167""",100,0.33,0.12,0.232109375
"""id8000168""","""id8000581""",100,0.38,0.28,0.400344828
"""ud8000156""","""id8001042""",100,0.31,0.14,0.248778281
"""id8001044""","""id8001424""",100,0.13,0.08,0.207047619
"""id8001426""","""id8001808""",100,0.31,0.18,0.283875
"""id8001810""","""id8002251""",100,0.91,0.28,0.398305085
"""wd8000877""","""id8002629""",100,0.33,0.14,0.248288288
"""id8002630""","""wd8001505""",100,0.07,0.04,0.199457831
"""ud8000529""","""ud8000610""",100,0.43,0.2,0.307230769
"""id8003464""","""id8003752""",100,0.47,0.18,0.283229814
"""id8003753""","""id8004042""",100,0.31,0.18,0.282592593
"""id8004043""","""id8004507""",100,0.82,0.36,0.491034483
"""id8004512""","""id8004886""",100,0.31,0.1,0.216838488
"""id8004888""","""id8005318""",100,0.28,0.14,0.247802691
"""id8005319""","""id8005685""",100,0.08,0.08,0.20664557
"""id8005688""","""id8006098""",100,0.1,0.1,0.216438356
"""id8006100""","""id8006535""",100,0.32,0.18,0.28196319
"""id8006550""","""id8006900""",100,0.64,0.24,0.343617021
"""ud8001645""","""id8007214""",100,0.36,0.18,0.281341463
"""id8007220""","""id8007541""",100,0.21,0.14,0.247321429
"""id8007543""","""ud8001921""",100,0.07,0.06,0.202269939
"""id8007933""","""id9000349""",100,0.57,0.16,0.263626943
"""id9000350""","""id9000707""",100,1.03,0.26,0.374166667
"""id9000708""","""id9001042""",100,0.57,0.22,0.327777778
"""id9001059""","""id9001487""",100,3.58,0.54,0.715
"""id9001489""","""id9001959""",100,4.86,0.76,0.835
"""id9001963""","""id9002434""",100,0.21,0.12,0.231673152
"""id9002435""","""id9002742""",100,0.26,0.1,0.216040956
"""id9002743""","""id9003090""",100,0.24,0.1,0.215646259
"""id9003094""","""id9003457""",100,0.63,0.26,0.37260274
"""id9003463""","""id9003886""",100,0.14,0.08,0.206246057
"""id9003888""","""id9004297""",100,0.14,0.12,0.23124031
"""wd9002054""","""id9004808""",100,0.57,0.26,0.371081081
"""id9004809""","""id9005331""",100,0.46,0.18,0.280727273
"""id9005337""","""id9005903""",100,0.35,0.12,0.230810811
"""id9005904""","""id9006342""",100,0.33,0.18,0.280120482
"""id9006345""","""id9006930""",100,1.91,0.38,0.532727273
"""id9006932""","""id9007212""",100,0.89,0.28,0.396333333
"""ud9001271""","""id9007735""",100,0.57,0.28,0.39442623
"""id9007736""","""id10000213""",100,0.42,0.16,0.263092784
"""id10000218""","""id10000932""",100,0.52,0.3,0.414230769
"""id10000933""","""id10001390""",100,0.22,0.08,0.205849057
"""id10001391""","""id10001815""",100,0.34,0.24,0.342526316
"""id10001834""","""id10002340""",100,0.34,0.22,0.326788991
"""id10002343""","""wd10002226""",100,0.12,0.12,0.230384615
"""wd10002236""","""id10002998""",100,0.24,0.14,0.246844444
"""id10003000""","""wd10003045""",100,0.7,0.28,0.392580645
"""wd10003065""","""id10003747""",100,0.32,0.2,0.306412214
"""id10003750""","""id10004269""",100,0.26,0.18,0.279520958
"""id10004271""","""id10004699""",100,0.38,0.22,0.325818182
"""id10004705""","""id10005173""",100,0.64,0.2,0.305606061
"""id10005179""","""id10005736""",100,0.23,0.1,0.215254237
"""id10005738""","""id10006315""",100,0.3,0.16,0.262564103
"""ud10001119""","""id10006707""",100,0.44,0.16,0.262040816
"""id10006711""","""id10007153""",100,0.16,0.14,0.246371681
"""wd10003929""","""id11000243""",100,0.19,0.14,0.245903084
"""id11000247""","""id11000855""",100,0.17,0.14,0.245438596
"""id11000856""","""id11001303""",100,0.8,0.34,0.472727273
"""ud11000151""","""id11001842""",100,0.25,0.16,0.261522843
"""id11001853""","""id11002369""",100,0.16,0.1,0.214864865
"""id11002384""","""id11002911""",100,0.15,0.14,0.244978166
"""id11002912""","""id11003414""",100,0.26,0.14,0.244521739
"""id11003415""","""id11003882""",100,0.35,0.18,0.278928571
"""ud11000615""","""id11004341""",100,0.2,0.06,0.201834862
"""id11004345""","""id11004850""",100,0.71,0.34,0.468823529
"""id11004858""","""id11005216""",100,0.32,0.14,0.244069264
"""id11005218""","""id11005680""",100,0.38,0.26,0.3696
"""id11005701""","""id11006233""",100,0.24,0.16,0.261010101
"""id11006253""","""id11006678""",100,0.2,0.12,0.229961686
"""id11006680""","""id11007186""",100,2.71,0.48,0.654545455
"""id11007192""","""id11007727""",100,0.23,0.16,0.260502513
"""id11007741""","""id11008059""",100,0.18,0.1,0.214478114
"""id11008086""","""dd11000132""",100,0.16,0.12,0.229541985
"""id11008314""","""id11008475""",100,0.82,0.32,0.437674419
"""id11008476""","""id11008601""",100,0.56,0.22,0.324864865
"""dd11000871""","""id11008700""",100,0.27,0.1,0.21409396
"""dd11001198""","""id11008969""",100,0.4,0.22,0.323928571
"""id11008973""","""id11009548""",100,0.03,0.04,0.198978979
"""id11009549""","""id11010059""",100,0.21,0.12,0.229125475
"""id11010064""","""id11010449""",100,0.58,0.32,0.435
"""id11010465""","""id11011292""",100,0.11,0.1,0.213712375
"""id11011299""","""id12000171""",100,0.83,0.62,0.77
"""id12000172""","""ud12000054""",100,0.29,0.18,0.278343195
"""ud12000058""","""id12001356""",100,0.29,0.14,0.24362069
"""id12001358""","""id12001946""",100,0.6,0.22,0.32300885
"""id12001959""","""id12002581""",100,0.04,0.02,0.197910448
"""id12002588""","""id12003140""",100,0.41,0.16,0.26
"""id12003141""","""id12003803""",100,0.59,0.22,0.322105263
"""id12003806""","""id12004203""",100,0.22,0.16,0.259502488
"""id12004204""","""id12004506""",100,0.08,0.06,0.201402439
"""id12004510""","""id12005034""",100,0.11,0.12,0.228712121
"""id12005039""","""id12005434""",100,0.63,0.26,0.368157895
"""id12005436""","""ud12001023""",100,0.37,0.2,0.30481203
"""id12005866""","""id12006269""",100,0.18,0.2,0.304029851
"""id12006272""","""id12006771""",100,1.27,0.4,0.556842105
"""id12006773""","""id12007229""",100,0.25,0.14,0.243175966
"""id12007237""","""wd12004222""",100,0.14,0.1,0.213333333
"""wd12004235""","""id12008315""",100,0.32,0.12,0.228301887
"""id12008319""","""id12008932""",100,0.29,0.16,0.259009901
"""id12008933""","""id12009563""",100,0.3,0.22,0.321217391
"""id12009572""","""id12010073""",100,0.1,0.1,0.212956811
"""id12010078""","""id12010173""",100,0.03,0.02,0.197380952
