parameter1,parameter2,parameter3
5.489219643,0.317689767,9.132878918
5.489219643,0.317689767,9.132878918
5.555125044,1.022860647,8.855740168
5.658431701,1.543986514,9.314506123
5.658431701,1.543986514,9.314506123
5.658431701,1.543986514,9.314506123
5.658431701,1.543986514,9.314506123
5.658431701,1.543986514,9.314506123
5.648063586,1.226507356,9.007183843
5.648063586,1.226507356,9.007183843
5.5665765,1.246691198,9.47045949
5.5665765,1.246691198,9.47045949
5.5665765,1.246691198,9.47045949
5.492995606,1.236185731,9.195463233
5.565254467,1.296369811,9.249198856
5.495041918,1.069101458,9.209734909
5.495041918,1.069101458,9.209734909
5.495990625,0.433282706,9.431248191
5.278670448,0.666203989,9.192701015
5.278670448,0.666203989,9.192701015
5.278670448,0.666203989,9.192701015
5.253887321,0.630828425,9.315743156
5.253887321,0.630828425,9.315743156
5.253887321,0.630828425,9.315743156
5.235569533,0.161026209,9.080572324
5.235569533,0.161026209,9.080572324
5.116068714,0.676538497,9.440024045
5.153681171,-0.239333804,9.358258172
5.153681171,-0.239333804,9.358258172
5.16704065,-0.028140786,9.6249441
5.271717582,0.601255635,9.756181782
5.237756262,1.137454465,9.953827085
5.237756262,1.137454465,9.953827085
5.272687029,0.45438576,9.899049202
4.970224221,0.71958032,9.809213112
4.998597198,2.042681336,9.926664522
4.998597198,2.042681336,9.926664522
4.998597198,2.042681336,9.926664522
5.093172544,2.203030019,10.18538324
5.093172544,2.203030019,10.18538324
5.172647233,2.047154273,10.20922252
5.282144456,1.211746764,10.3591896
5.162013834,1.187518498,10.66965238
5.112029063,0.645979857,10.35029027
5.127158107,0.826834479,10.38851098
5.148613191,1.321753108,10.50932584
5.148613191,1.321753108,10.50932584
5.171266873,1.185220205,10.34152176
5.216857121,0.519946749,10.35052737
5.216857121,0.519946749,10.35052737
5.196335837,1.110251345,10.26798456
5.36832388,-0.211327721,9.921163674
5.36832388,-0.211327721,9.921163674
5.198456766,-0.646116003,9.605116187
5.198456766,-0.646116003,9.605116187
5.180531825,-0.624499682,9.492451426
5.086736744,-0.54963672,9.753068934
5.091142055,-0.439388746,10.05483139
5.016768808,-0.553002998,10.20209196
4.920745413,-0.35523899,10.38936898
4.833538009,-0.674202387,10.72435678
4.894310438,-0.87799659,10.36592715
5.021451375,-1.215893384,10.54853727
5.200108856,-0.74502066,10.49637509
5.249906498,-0.601402269,10.562181
5.25356849,0.389552282,10.67278256
5.119297221,1.621195172,10.53780735
5.097135418,2.102888332,10.7167202
5.149848,1.964676937,10.60303186
5.087900721,1.67654551,10.81166136
5.012853269,2.084205856,11.22970608
4.972181702,1.876708757,11.59640461
4.869944236,0.755511764,11.26745032
5.001599848,0.135584088,11.06047848
4.907376991,0.086758148,10.63879148
4.893942231,0.351367098,10.52024564
4.721631205,-0.163555377,10.70044948
4.7204739,-0.588823194,10.15957134
4.7204739,-0.588823194,10.15957134
4.746754663,-0.640461524,10.37321655
4.816015784,-0.816508675,10.65230965
4.971432619,-0.663339479,10.52925136
5.012469253,-0.175286665,10.8299191
4.950989551,0.102837301,10.93895719
4.938444892,-0.095706133,10.64821705
5.119791485,0.340387562,10.07290417
5.119791485,0.340387562,10.07290417
5.215720884,0.32894491,10.3220775
5.215720884,0.32894491,10.3220775
5.189168998,0.530149106,10.7715291
5.205533562,0.759320351,10.91490626
5.205533562,0.759320351,10.91490626
5.150733396,0.181291348,10.56169691
5.020319797,0.674576079,11.22412311
5.177971872,0.188106881,11.13775564
4.885498895,0.065712733,11.19983373
4.945736656,-0.14262014,11.35927409
4.997938119,-0.259901772,11.35294426
4.997938119,-0.259901772,11.35294426
5.068704757,0.725522623,11.50295961
5.025503024,0.254188515,11.9038747
4.803977381,0.369583713,11.89202223
4.880161238,0.579433225,11.93238537
4.993955454,0.918444921,12.22386736
5.040697446,0.279112373,12.22264733
4.993431221,-0.048780834,11.74088029
5.079257037,0.063367223,11.75716124
5.130004897,0.034076572,12.16059777
5.16180044,-0.506417188,12.4889156
5.100305704,-0.975951654,12.4316429
5.100305704,-0.975951654,12.4316429
5.100305704,-0.975951654,12.4316429
5.144866431,-1.280644221,12.28028351
5.144866431,-1.280644221,12.28028351
5.112776192,-0.810091803,12.00481492
5.14513,-1.177564775,11.32158996
5.336525572,-0.775872237,11.60650392
5.254858959,-1.626760361,11.42058697
5.194093387,-1.48985333,11.76173149
5.144903252,-1.280177446,11.43056718
5.126536759,-1.249975641,11.37158214
5.234836724,-1.770190095,10.91154817
5.21715472,-1.566059025,10.72431444
5.260818809,-0.64151575,10.85718652
5.119709224,-1.022528043,10.94241034
5.051379618,-0.17667081,11.28777609
5.006863229,-0.178425774,10.84014099
5.058818571,-1.237909823,11.28652628
5.06168537,-1.139831043,11.58937303
4.979802401,-1.484660249,11.06547892
5.025118594,-1.380477481,10.87429655
4.887370213,-0.905548467,10.82031972
4.887370213,-0.905548467,10.82031972
4.821432881,-1.134061345,11.73836316
4.821432881,-1.134061345,11.73836316
4.849838752,-0.255321043,11.249403
4.735138279,0.705550776,11.3923008
4.745177946,0.870195257,11.88638584
4.745177946,0.870195257,11.88638584
4.672396211,1.371700441,12.1040758
4.571811765,0.715943979,11.92379655
4.600695465,1.660428303,11.60363259
4.595599527,0.511729357,11.74562791
4.601462055,0.008084324,11.70262056
4.695330376,-0.14330653,11.61718728
4.694561756,-0.356808728,11.82981103
4.70881967,-0.224001551,11.96497856
4.70881967,-0.224001551,11.96497856
4.802346402,-0.081594619,12.11126471
4.813407568,-0.400040621,12.44493139
4.838048337,0.36893822,11.96732445
4.85324986,0.129652054,11.98695393
4.70490199,0.412309972,12.01514524
4.70490199,0.412309972,12.01514524
4.703538997,0.27889933,12.52325518
4.749193463,0.055165948,12.49027127
4.908332346,0.091145847,12.789793
4.715751948,0.244880427,13.1275673
4.669618194,0.309273884,12.70113991
4.717496462,-0.610230471,12.94463115
4.717496462,-0.610230471,12.94463115
4.777144634,-1.547732832,13.04128029
4.850761281,-1.829805237,12.82256272
4.793566142,-1.749634963,13.45224937
4.768560576,-2.507174182,13.59689804
4.755219633,-1.994965395,14.06862979
4.755219633,-1.994965395,14.06862979
4.755219633,-1.994965395,14.06862979
4.755219633,-1.994965395,14.06862979
4.798468565,-0.767042261,14.766207
4.92612749,-0.655502401,14.51913883
4.92612749,-0.655502401,14.51913883
4.92612749,-0.655502401,14.51913883
4.893224286,-0.87106915,14.57143397
4.893224286,-0.87106915,14.57143397
4.897882306,-0.517416364,14.72865824
4.879065449,-0.346171779,14.50713247
4.884894413,-0.653027147,13.8977508
4.766014782,-1.227893131,13.86943324
4.724422443,-0.992665314,13.64529412
4.769773726,-0.28127629,13.63837813
4.888048021,-0.077641371,13.09723468
4.946917673,-0.444983739,13.42947719
4.893817017,-0.083166603,13.41913087
4.893817017,-0.083166603,13.41913087
4.835661486,-0.506549079,13.50732456
4.86678793,-0.673034737,13.76067056
4.857387586,-0.517056759,13.45269591
5.073552116,-1.289464301,13.76019803
5.116877342,-1.191068161,13.96298164
5.185858914,-2.143290411,13.27990194
5.203931528,-2.744068889,12.79120499
5.15878179,-2.664810815,13.08369662
5.259537352,-2.162368434,12.86314111
5.423034978,-2.640704357,12.8124623
5.502204868,-2.874166447,13.38641264
5.173057751,-2.985957579,13.69451514
5.159937426,-2.840493592,13.76535213
5.036167261,-2.952359046,13.81254821
4.939269867,-2.873488604,13.94110684
4.939269867,-2.873488604,13.94110684
4.996020736,-2.032589959,14.35759378
4.923697456,-1.79760756,14.36265237
4.960464654,-1.834992505,14.12207018
4.780057814,-1.987900808,13.37087332
4.780057814,-1.987900808,13.37087332
4.836862909,-2.922603494,13.293989
4.626570633,-2.753537124,12.86479195
4.565619042,-3.100984591,12.28888039
4.510490587,-2.699983495,12.29384143
4.510490587,-2.699983495,12.29384143
4.488059722,-2.449660889,12.18967443
4.568227552,-2.48549001,12.52562791
4.639382617,-2.876963388,12.77733366
4.643000677,-3.025003076,12.40114221
4.683602859,-3.060655276,12.32818618
4.683602859,-3.060655276,12.32818618
4.734857807,-2.744172205,12.38582448
4.81803294,-2.776527874,11.73644481
4.80729891,-3.035062086,11.67037417
4.80729891,-3.035062086,11.67037417
4.63871243,-2.896701564,11.81432743
4.622901769,-3.11416042,11.17041692
4.622901769,-3.11416042,11.17041692
4.609095361,-3.086916402,11.184363
4.609095361,-3.086916402,11.184363
4.813207353,-3.718733948,10.92390328
4.869750873,-3.959563704,10.92076322
4.869750873,-3.959563704,10.92076322
4.945241121,-4.029793694,10.89711237
4.858067317,-3.677432444,10.52135959
4.858067317,-3.677432444,10.52135959
4.874057261,-3.375768999,10.59240479
4.809919559,-2.799548198,10.70299099
4.809919559,-2.799548198,10.70299099
4.828347977,-2.325203514,10.85694657
4.697204388,-2.827854532,10.69277143
4.697204388,-2.827854532,10.69277143
4.697204388,-2.827854532,10.69277143
4.663937092,-3.340136928,10.50271893
4.659812312,-2.871666216,10.56204315
4.635003648,-2.496198935,10.67288844
4.708627083,-2.172465862,10.42050023
4.746697727,-1.718687655,10.47837338
5.000552378,-1.10659274,10.105361
5.000552378,-1.10659274,10.105361
5.000552378,-1.10659274,10.105361
5.114683612,-0.861644993,9.850175309
5.163919968,-1.332648482,10.07412459
5.10180393,-0.983091536,10.15398073
5.10180393,-0.983091536,10.15398073
5.265441363,-1.443288043,10.33581122
5.27683414,-1.886261404,10.25785252
5.31218816,-1.552786249,10.15580806
5.303191975,-0.969793748,9.85348663
5.209781949,-0.48375069,9.689855269
5.095435035,-0.544340272,9.783014137
4.991526895,-0.18399428,9.476350829
5.055428678,-0.678463443,9.396289826
5.072734581,0.026457442,9.240818478
4.912921936,-0.497290266,9.503151047
5.048417495,-0.559572854,9.146437752
5.057884303,-0.284063187,9.118021738
5.171705908,-0.261012817,8.88283409
5.073712352,0.162499514,9.176525414
5.101270449,0.05250015,8.964200557
5.084396257,0.024527826,9.36860705
4.986204083,0.045960139,9.160155626
4.898969111,-0.269687598,9.169453225
5.002028673,-0.563444588,9.049146428
5.070522437,0.017443943,8.978086555
5.070522437,0.017443943,8.978086555
5.117353347,-1.565171873,9.403925895
5.117353347,-1.565171873,9.403925895
5.101045423,-1.929889968,9.532464296
5.101045423,-1.929889968,9.532464296
5.101045423,-1.929889968,9.532464296
5.11064866,-1.392818435,9.425882092
5.161642238,-1.401331187,8.97308175
5.161642238,-1.401331187,8.97308175
5.161642238,-1.401331187,8.97308175
5.161642238,-1.401331187,8.97308175
5.161642238,-1.401331187,8.97308175
5.161642238,-1.401331187,8.97308175
4.940146423,-1.137684372,9.01634574
4.835248356,-0.999704407,9.407400783
4.886927164,-1.151481265,9.235467189
4.946576948,-0.685281515,9.59679345
5.088622219,-0.380736154,9.10975243
4.945444491,0.209356362,8.929571654
5.011432918,0.601609881,8.986194958
5.011432918,0.601609881,8.986194958
5.064920879,1.646430717,9.331699236
5.025803927,2.743796296,9.329780021
5.025803927,2.743796296,9.329780021
4.912541549,3.431267767,9.353224473
4.783948453,2.84909152,9.002969378
4.805910733,3.338266048,9.387955501
4.805910733,3.338266048,9.387955501
4.883571753,3.185101629,9.617159106
4.993156487,3.334091888,9.667877485
5.042964116,3.150210606,8.845806695
4.953310254,2.819602694,9.111585687
4.933235207,3.786242574,9.486404604
5.034409618,3.453927975,9.762316403
5.125210772,3.686807859,9.975705872
5.103502405,3.170796018,9.752385694
5.103502405,3.170796018,9.752385694
5.059509124,3.3887861,9.825451935
5.172171845,3.082428458,9.960364827
5.305327037,3.373155929,9.897846439
5.366084938,3.750670098,10.06844005
5.409833238,3.082736313,10.29569388
5.359668076,3.271654148,10.06411939
5.241908602,4.333528451,9.650911908
5.241908602,4.333528451,9.650911908
5.256510577,3.633543869,9.956219888
5.256510577,3.633543869,9.956219888
5.15254341,3.734175151,9.605475058
5.05995212,3.852484322,9.588696859
5.05995212,3.852484322,9.588696859
5.123872382,4.359510077,9.922854338
5.158253091,4.144616811,9.582853508
5.158253091,4.144616811,9.582853508
5.226649668,3.634550909,9.385871485
5.280987486,2.830907279,9.581312588
5.280987486,2.830907279,9.581312588
5.293582317,2.228713184,9.522624746
5.36439989,2.807854061,9.714401771
5.318868837,3.030157732,9.686586425
5.380102482,2.778086238,9.305212484
5.431068347,3.069010145,9.08607422
5.342651931,2.557868181,8.624265126
5.342651931,2.557868181,8.624265126
5.343424563,2.15436346,8.632589953
5.343424563,2.15436346,8.632589953
5.343424563,2.15436346,8.632589953
5.343424563,2.15436346,8.632589953
5.343424563,2.15436346,8.632589953
5.269170522,2.008127808,9.002414462
5.294289541,1.45343186,9.001640642
5.294289541,1.45343186,9.001640642
5.294289541,1.45343186,9.001640642
5.294289541,1.45343186,9.001640642
5.253493764,2.246334293,8.777706882
5.16539423,2.617804888,8.712744025
5.154199062,3.007364096,8.725057369
5.079268957,3.173294332,9.244842452
5.110232529,2.767326135,8.939761874
5.110232529,2.767326135,8.939761874
5.110232529,2.767326135,8.939761874
5.110232529,2.767326135,8.939761874
5.216140546,1.965543077,8.576317925
5.303634747,1.295024327,8.677026993
5.34622449,1.94423519,8.636780918
5.28215765,1.667202024,8.982360684
5.21262943,1.312861999,9.30638152
5.265662584,0.993012507,9.589783096
5.152548783,0.438919689,9.637185317
5.198921355,0.913689279,9.753934141
5.198921355,0.913689279,9.753934141
5.206199354,1.220292008,9.311812729
5.420927541,1.627726455,10.11939674
5.420927541,1.627726455,10.11939674
5.437184404,1.139223611,10.05160547
5.487997461,1.184722835,10.31366323
5.487997461,1.184722835,10.31366323
5.487997461,1.184722835,10.31366323
5.47254951,1.675696575,10.62976655
5.47254951,1.675696575,10.62976655
5.401462689,2.443062144,10.31124294
5.401462689,2.443062144,10.31124294
5.512647034,2.161232666,10.52066034
5.471768493,1.874245643,11.12995139
5.32264072,1.821787254,11.43926307
5.338298458,1.295764831,10.98148687
5.158039003,1.237321902,10.86031949
5.044102508,2.155080602,10.98058498
5.06819171,1.94667486,11.09263013
5.203938962,1.302520965,11.09318819
5.258772625,1.471567882,11.16562935
5.258772625,1.471567882,11.16562935
5.201578653,1.300870784,10.9779749
5.239053321,0.525831907,10.89591585
5.439303168,0.099032916,10.90575702
5.235399596,-0.116358137,10.6835168
5.249031034,-1.292318636,10.72255904
5.347709539,-0.334899373,10.8604947
5.32104921,-0.585570592,11.02567659
5.153173338,-0.766007089,10.93830239
5.178170182,-1.280919289,10.7141189
5.184024814,-1.469815723,10.89037766
5.150425968,-1.684075842,11.08864866
5.150425968,-1.684075842,11.08864866
5.065942259,-1.906914018,10.93429926
5.093053761,-2.65738081,10.45368172
4.987961113,-2.650753148,10.11552769
5.006268056,-2.153772075,10.49474791
5.142264573,-1.688407374,10.11875504
5.289042804,-1.500808093,10.04200718
5.293429155,-1.358981786,9.948213934
5.292030648,-0.440704457,10.14587174
5.292030648,-0.440704457,10.14587174
5.292030648,-0.440704457,10.14587174
5.162873162,-0.4731656,10.40646899
5.097869411,-0.46796981,10.86949034
5.15751291,-0.629018494,10.49611271
5.15751291,-0.629018494,10.49611271
5.264446458,-1.478239821,10.32663118
5.220350155,-1.682913592,10.02722776
5.245694107,-1.486152858,10.17266121
5.245694107,-1.486152858,10.17266121
5.220504762,-1.502284162,10.27140404
5.28471921,-1.464931219,9.966452693
5.244336218,-1.473761765,10.17073439
5.244336218,-1.473761765,10.17073439
5.272124576,-1.734213059,9.941802911
5.282305931,-1.694908296,10.18105984
5.387015605,-1.729017781,10.51700603
5.393960216,-1.370350523,10.3780053
5.274663761,-1.07360944,10.09262573
5.185003661,0.150351005,9.899452152
5.011051448,-0.165249945,9.85420253
4.951249859,-0.200936545,10.05801357
4.941300325,-0.9100792,9.98536925
4.928484093,-1.042189238,10.07734933
4.928484093,-1.042189238,10.07734933
5.135822849,-1.608053731,10.39883205
5.133720151,-0.792004389,10.18695593
5.193618644,-1.761720375,9.971885943
5.211206062,-1.530058748,10.21988844
5.27072367,-1.171213605,9.96948166
5.191125936,-1.17364138,9.939789287
5.191125936,-1.17364138,9.939789287
5.262166668,-1.389818254,9.492537067
5.157451701,-1.03464191,9.674082437
5.244225339,-0.707175558,10.14166369
5.232061585,-1.174545145,10.12896336
5.232061585,-1.174545145,10.12896336
5.232061585,-1.174545145,10.12896336
5.232061585,-1.174545145,10.12896336
5.21763953,-0.315700304,9.902166625
5.171731257,-0.139388615,9.611333536
5.145226194,-1.091483711,9.600111628
5.131724238,-1.950116599,9.639936914
5.131724238,-1.950116599,9.639936914
5.064103361,-1.866125319,9.638092871
5.024075573,-1.339558927,9.332681956
5.044497628,-1.890896208,9.841751168
5.036915122,-0.926643637,9.953906865
5.100139192,-0.196215271,10.08011494
5.074710321,0.922559242,10.02152941
5.138801626,0.493130623,9.939361261
5.204311792,0.642657527,9.863761624
5.204311792,0.642657527,9.863761624
5.170563664,-0.429231989,9.738220327
5.297680144,-0.115799097,10.26174071
5.159901631,0.015298868,10.18632744
5.159901631,0.015298868,10.18632744
5.258514103,0.359148375,10.29871303
5.227208462,0.297348205,10.18541347
5.133463644,0.244298999,10.44391146
5.255443126,0.621366234,11.19671727
5.255443126,0.621366234,11.19671727
5.110376018,0.52180424,11.18456173
4.968280455,0.635022735,10.66132483
5.018480173,0.677534596,10.75130653
5.013012187,-0.144392401,11.24348085
4.954913866,-0.152090281,11.57860647
4.910916538,-0.763768289,11.56490591
4.923642826,0.339305575,11.22651641
4.923642826,0.339305575,11.22651641
5.084516343,-1.010599073,11.42246166
4.929370993,-0.310709151,12.31292357
5.124007034,-0.086916243,11.88965963
5.038786029,-0.545594521,11.40805513
5.152644146,-0.562694407,11.07969239
5.077461306,-1.138865343,11.26801563
4.968508974,-2.598477882,11.22296868
4.883747285,-1.854850523,11.07906575
4.848999483,-1.507063177,11.22175709
5.04738296,-1.33924159,11.51145012
5.002040887,-0.766068798,11.67292998
4.926842305,-0.468490225,11.05491504
5.003602216,0.534160377,11.52711492
4.918577443,-0.680334621,11.31366547
4.918577443,-0.680334621,11.31366547
4.94001622,-0.789602038,10.85388598
4.94001622,-0.789602038,10.85388598
5.044933325,-0.880386239,10.7508594
4.924809497,-0.350604647,11.17082622
4.924809497,-0.350604647,11.17082622
4.924809497,-0.350604647,11.17082622
4.768803717,-0.897091251,11.34805889
4.768803717,-0.897091251,11.34805889
4.83618452,-0.944292277,11.42891761
4.83618452,-0.944292277,11.42891761
4.743209697,-1.232871488,11.04397412
4.828824657,-1.155979071,11.15216228
4.933961531,-0.636188599,10.6693231
4.933961531,-0.636188599,10.6693231
4.814558845,-0.813024302,11.09554791
4.904081406,-1.757144911,10.79225423
4.9528833,-2.012881181,10.6806735
4.96443977,-2.013282391,11.00423216
4.979721192,-1.656663054,10.89895749
4.979721192,-1.656663054,10.89895749
4.943684115,-1.966132715,10.77521874
4.927241681,-2.784684216,10.91715984
4.927241681,-2.784684216,10.91715984
4.935088508,-2.720052612,10.92722767
4.899764428,-1.623227631,10.96220277
4.882153338,-2.413526491,11.20720071
4.790323119,-3.2659231,10.81648172
4.790056209,-3.857409271,10.78085551
4.867309025,-3.782023073,9.990252967
4.935678931,-4.319032785,10.11671109
4.819145157,-3.217879184,10.2973363
4.811712308,-3.422747964,10.2578643
4.760568957,-3.065553682,10.23638516
4.760568957,-3.065553682,10.23638516
4.783511196,-2.520647585,10.35635208
4.611934256,-2.318898243,10.40043748
4.750649721,-1.628544582,9.904204303
4.6889816,-1.863433771,10.12766609
4.783323896,-1.561748599,10.08575882
4.811142136,-1.381585234,10.11222921
4.859059861,-0.992328719,10.50408885
4.938532276,-0.120985685,10.96969038
5.00840264,-0.354450892,10.79655266
5.081702996,-0.119762866,10.72527243
4.95915415,-0.220262984,10.71049957
4.872853982,0.764649985,11.33164666
4.882435014,0.781562295,11.13159591
4.830416851,0.597307051,11.04700561
4.916304798,-0.07606472,10.63977794
4.935164811,-0.034215954,10.5381443
4.935164811,-0.034215954,10.5381443
4.918773529,0.296929649,10.65963574
5.013635115,-0.568300242,11.13757857
5.084013117,-0.619094162,10.83179354
5.107009358,-0.455555127,10.99193392
5.100465804,-0.259589927,11.11562914
5.002993252,-0.29593065,10.83650972
5.074157436,0.0109897,11.0296332
5.074157436,0.0109897,11.0296332
5.174777212,-0.268559213,10.62730092
5.174777212,-0.268559213,10.62730092
5.09234144,-1.007966612,10.44841133
5.125698751,-1.221780264,10.67707848
5.164635016,-0.94238787,10.74228306
4.958030617,-0.784307339,10.72227611
4.963323622,-0.764465268,10.45045435
4.97843379,-0.953843224,10.25656639
4.97843379,-0.953843224,10.25656639
5.017767769,-1.028982234,10.32293219
4.9427971,-0.69364955,10.71217865
4.9427971,-0.69364955,10.71217865
4.889675139,-0.101777933,10.89422945
4.889675139,-0.101777933,10.89422945
4.908000447,0.25588799,10.89189032
4.908000447,0.25588799,10.89189032
4.906931897,0.888189326,10.80462164
4.94743869,0.037567421,11.12694533
4.740490259,-0.618355092,11.37262292
4.760962908,-0.47127099,11.48121702
4.904167855,-1.613768672,11.27278937
4.846306883,-1.456577978,11.10056846
4.899628418,-1.780874565,11.62538875
4.899628418,-1.780874565,11.62538875
4.893831739,-2.82787917,11.7858456
5.005034505,-1.816242952,11.85280707
4.968816596,-1.395545024,12.35175907
4.968816596,-1.395545024,12.35175907
5.072025643,-1.508889473,12.08895296
5.131453595,-1.49379524,11.93788283
5.131453595,-1.49379524,11.93788283
4.973400699,-1.115154044,11.8856825
5.09712264,-0.785078098,11.62890392
5.179644397,-0.415065815,11.6701597
5.179644397,-0.415065815,11.6701597
5.205959799,-1.11531126,11.0045373
5.19267801,-1.055764855,11.1660357
5.19267801,-1.055764855,11.1660357
5.188158869,-0.926552553,11.07362089
5.189778298,-0.990188274,10.99668696
5.121548352,-1.281080301,11.01671441
5.139846348,-0.765959937,10.60229374
5.139846348,-0.765959937,10.60229374
4.972453582,-0.657071872,10.50589223
5.007621671,-1.298034669,10.68073304
4.978926573,-1.719131271,10.52156828
4.86268986,-0.895265252,10.74728621
4.832337133,-1.883225858,10.4799388
4.832337133,-1.883225858,10.4799388
4.832337133,-1.883225858,10.4799388
4.797895031,-1.860684796,10.64005247
4.987715272,-1.995588407,10.51544953
5.065158344,-2.148136909,10.70218009
5.148051371,-2.61948915,10.94697155
5.149819581,-3.126951612,11.06783121
5.047118453,-3.082459745,10.93659342
5.216496942,-2.822995621,10.80232792
5.260757603,-3.486524495,10.99115372
5.260757603,-3.486524495,10.99115372
